"customer_id","no_of_days_rented","case"
91,"7 days 23:04:00","NO ACTION"
121,"4 days 18:00:00","NO ACTION"
309,"9 days 02:26:00","REMINDER EMAIL TO CUSTOMER"
489,"1 day 18:59:00","NO ACTION"
542,"5 days 21:37:00","NO ACTION"
143,"2 days 19:43:00","NO ACTION"
83,"4 days 22:22:00","NO ACTION"
460,"4 days 01:28:00","NO ACTION"
318,"8 days 20:41:00","REMINDER EMAIL TO CUSTOMER"
467,"5 days 20:34:00","NO ACTION"
221,"5 days 02:42:00","NO ACTION"
301,"3 days 20:33:00","NO ACTION"
571,"8 days 22:45:00","REMINDER EMAIL TO CUSTOMER"
312,"5 days 00:37:00","NO ACTION"
58,"4 days 03:51:00","NO ACTION"
365,"19:56:00","NO ACTION"
256,"21:04:00","NO ACTION"
531,"2 days 05:45:00","NO ACTION"
566,"7 days 22:52:00","NO ACTION"
119,"8 days 21:45:00","REMINDER EMAIL TO CUSTOMER"
446,"2 days 02:02:00","NO ACTION"
536,"3 days 05:55:00","NO ACTION"
211,"18:19:00","NO ACTION"
49,"6 days 00:56:00","NO ACTION"
103,"8 days 18:42:00","REMINDER EMAIL TO CUSTOMER"
245,"1 day 22:54:00","NO ACTION"
214,"7 days 02:21:00","NO ACTION"
543,"8 days 04:22:00","REMINDER EMAIL TO CUSTOMER"
257,"4 days 22:18:00","NO ACTION"
158,"20:12:00","NO ACTION"
240,"2 days 20:15:00","NO ACTION"
102,"1 day 23:37:00","NO ACTION"
545,"4 days 23:56:00","NO ACTION"
472,"2 days 03:28:00","NO ACTION"
539,"18:20:00","NO ACTION"
204,"3 days 02:42:00","NO ACTION"
187,"7 days 00:09:00","NO ACTION"
416,"21:38:00","NO ACTION"
390,"4 days 18:36:00","NO ACTION"
114,"21:53:00","NO ACTION"
436,"5 days 00:38:00","NO ACTION"
373,"3 days 00:58:00","NO ACTION"
502,"4 days 03:10:00","NO ACTION"
482,"8 days 23:55:00","REMINDER EMAIL TO CUSTOMER"
21,"4 days 21:39:00","NO ACTION"
414,"6 days 18:03:00","NO ACTION"
236,"2 days 00:03:00","NO ACTION"
449,"3 days 18:20:00","NO ACTION"
251,"18:12:00","NO ACTION"
303,"5 days 22:13:00","NO ACTION"
263,"18:47:00","NO ACTION"
417,"4 days 00:37:00","NO ACTION"
75,"22:16:00","NO ACTION"
322,"23:40:00","NO ACTION"
200,"7 days 20:20:00","NO ACTION"
92,"8 days 01:08:00","REMINDER EMAIL TO CUSTOMER"
71,"7 days 20:43:00","NO ACTION"
193,"3 days 02:20:00","NO ACTION"
311,"8 days 01:29:00","REMINDER EMAIL TO CUSTOMER"
133,"9 days 05:26:00","REMINDER EMAIL TO CUSTOMER"
58,"7 days 19:43:00","NO ACTION"
45,"2 days 05:22:00","NO ACTION"
214,"6 days 23:03:00","NO ACTION"
384,"8 days 00:46:00","REMINDER EMAIL TO CUSTOMER"
167,"1 day 05:06:00","NO ACTION"
582,"23:22:00","NO ACTION"
282,"5 days 21:36:00","NO ACTION"
242,"5 days 00:14:00","NO ACTION"
359,"8 days 18:57:00","REMINDER EMAIL TO CUSTOMER"
162,"4 days 21:17:00","NO ACTION"
371,"8 days 22:16:00","REMINDER EMAIL TO CUSTOMER"
17,"6 days 05:26:00","NO ACTION"
82,"8 days 01:06:00","REMINDER EMAIL TO CUSTOMER"
81,"1 day 19:08:00","NO ACTION"
429,"3 days 04:24:00","NO ACTION"
577,"7 days 05:46:00","NO ACTION"
515,"9 days 04:36:00","REMINDER EMAIL TO CUSTOMER"
158,"7 days 20:18:00","NO ACTION"
369,"1 day 20:51:00","NO ACTION"
65,"21:50:00","NO ACTION"
468,"8 days 05:56:00","REMINDER EMAIL TO CUSTOMER"
48,"23:04:00","NO ACTION"
460,"3 days 01:16:00","NO ACTION"
448,"1 day 03:30:00","NO ACTION"
47,"9 days 04:37:00","REMINDER EMAIL TO CUSTOMER"
274,"5 days 04:48:00","NO ACTION"
387,"7 days 18:36:00","NO ACTION"
596,"1 day 02:25:00","NO ACTION"
534,"6 days 02:44:00","NO ACTION"
464,"7 days 01:11:00","NO ACTION"
547,"1 day 22:06:00","NO ACTION"
375,"9 days 00:36:00","REMINDER EMAIL TO CUSTOMER"
277,"8 days 22:23:00","REMINDER EMAIL TO CUSTOMER"
251,"6 days 04:32:00","NO ACTION"
409,"6 days 05:28:00","NO ACTION"
201,"5 days 01:11:00","NO ACTION"
143,"6 days 19:22:00","NO ACTION"
594,"2 days 02:33:00","NO ACTION"
203,"1 day 23:40:00","NO ACTION"
238,"3 days 00:21:00","NO ACTION"
249,"3 days 00:03:00","NO ACTION"
391,"5 days 20:33:00","NO ACTION"
60,"7 days 04:54:00","NO ACTION"
77,"3 days 19:03:00","NO ACTION"
2,"1 day 04:21:00","NO ACTION"
496,"5 days 23:45:00","NO ACTION"
144,"3 days 02:23:00","NO ACTION"
292,"3 days 03:27:00","NO ACTION"
449,"4 days 05:52:00","NO ACTION"
432,"8 days 19:15:00","REMINDER EMAIL TO CUSTOMER"
105,"8 days 02:48:00","REMINDER EMAIL TO CUSTOMER"
451,"5 days 00:58:00","NO ACTION"
231,"4 days 02:22:00","NO ACTION"
248,"8 days 02:54:00","REMINDER EMAIL TO CUSTOMER"
67,"8 days 22:03:00","REMINDER EMAIL TO CUSTOMER"
299,"6 days 22:59:00","NO ACTION"
412,"4 days 22:03:00","NO ACTION"
194,"2 days 00:51:00","NO ACTION"
16,"8 days 21:08:00","REMINDER EMAIL TO CUSTOMER"
275,"2 days 19:28:00","NO ACTION"
19,"6 days 00:05:00","NO ACTION"
165,"5 days 01:41:00","NO ACTION"
516,"8 days 01:59:00","REMINDER EMAIL TO CUSTOMER"
209,"8 days 04:02:00","REMINDER EMAIL TO CUSTOMER"
56,"9 days 04:50:00","REMINDER EMAIL TO CUSTOMER"
539,"1 day 21:17:00","NO ACTION"
455,"1 day 04:21:00","NO ACTION"
236,"2 days 05:43:00","NO ACTION"
144,"4 days 05:18:00","NO ACTION"
14,"8 days 23:50:00","REMINDER EMAIL TO CUSTOMER"
378,"1 day 05:16:00","NO ACTION"
473,"4 days 23:53:00","NO ACTION"
36,"1 day 01:40:00","NO ACTION"
9,"8 days","REMINDER EMAIL TO CUSTOMER"
118,"5 days 05:31:00","NO ACTION"
157,"2 days 03:17:00","NO ACTION"
503,"6 days 22:36:00","NO ACTION"
452,"5 days 00:36:00","NO ACTION"
446,"4 days 20:35:00","NO ACTION"
382,"2 days 23:52:00","NO ACTION"
198,"3 days 00:27:00","NO ACTION"
102,"2 days 04:45:00","NO ACTION"
152,"1 day 21:07:00","NO ACTION"
594,"6 days 19:07:00","NO ACTION"
587,"4 days 00:58:00","NO ACTION"
147,"5 days 01:24:00","NO ACTION"
345,"1 day 05:08:00","NO ACTION"
430,"4 days 03:24:00","NO ACTION"
167,"7 days 21:15:00","NO ACTION"
134,"7 days 18:22:00","NO ACTION"
439,"2 days 22:06:00","NO ACTION"
361,"8 days 03:38:00","REMINDER EMAIL TO CUSTOMER"
508,"4 days 22:34:00","NO ACTION"
22,"8 days 22:50:00","REMINDER EMAIL TO CUSTOMER"
295,"8 days 18:57:00","REMINDER EMAIL TO CUSTOMER"
510,"7 days 19:37:00","NO ACTION"
464,"5 days 03:25:00","NO ACTION"
337,"8 days 22:47:00","REMINDER EMAIL TO CUSTOMER"
306,"8 days 05:22:00","REMINDER EMAIL TO CUSTOMER"
542,"5 days 19:50:00","NO ACTION"
170,"5 days 18:32:00","NO ACTION"
53,"2 days 05:57:00","NO ACTION"
584,"5 days 20:54:00","NO ACTION"
176,"8 days 02:11:00","REMINDER EMAIL TO CUSTOMER"
371,"4 days 02:17:00","NO ACTION"
183,"4 days 04:51:00","NO ACTION"
298,"7 days 00:25:00","NO ACTION"
371,"5 days 23:03:00","NO ACTION"
213,"3 days 05:04:00","NO ACTION"
109,"2 days 22:06:00","NO ACTION"
506,"5 days 03:02:00","NO ACTION"
28,"2 days 19:08:00","NO ACTION"
500,"8 days 19:37:00","REMINDER EMAIL TO CUSTOMER"
48,"6 days 05:07:00","NO ACTION"
197,"5 days 00:56:00","NO ACTION"
359,"5 days 03:14:00","NO ACTION"
251,"19:52:00","NO ACTION"
274,"7 days 05:18:00","NO ACTION"
575,"4 days 01:57:00","NO ACTION"
112,"1 day 22:27:00","NO ACTION"
544,"1 day 05:07:00","NO ACTION"
422,"5 days 19:35:00","NO ACTION"
204,"2 days 02:39:00","NO ACTION"
249,"3 days 19:43:00","NO ACTION"
46,"2 days 04:58:00","NO ACTION"
354,"2 days 19:36:00","NO ACTION"
424,"1 day 22:19:00","NO ACTION"
168,"3 days 03:27:00","NO ACTION"
272,"9 days 05:21:00","REMINDER EMAIL TO CUSTOMER"
381,"2 days 22:57:00","NO ACTION"
44,"4 days 04:26:00","NO ACTION"
84,"22:00:00","NO ACTION"
220,"5 days 20:30:00","NO ACTION"
506,"6 days 05:55:00","NO ACTION"
388,"7 days 03:25:00","NO ACTION"
375,"2 days 00:50:00","NO ACTION"
307,"6 days 20:26:00","NO ACTION"
219,"3 days 23:51:00","NO ACTION"
304,"1 day 04:16:00","NO ACTION"
222,"1 day 19:32:00","NO ACTION"
475,"2 days 04:54:00","NO ACTION"
151,"7 days 20:52:00","NO ACTION"
77,"5 days 20:38:00","NO ACTION"
93,"6 days 23:48:00","NO ACTION"
246,"7 days 21:49:00","NO ACTION"
150,"4 days 20:16:00","NO ACTION"
284,"6 days 03:31:00","NO ACTION"
35,"8 days 18:10:00","REMINDER EMAIL TO CUSTOMER"
182,"7 days 01:01:00","NO ACTION"
522,"8 days 19:49:00","REMINDER EMAIL TO CUSTOMER"
288,"8 days 21:12:00","REMINDER EMAIL TO CUSTOMER"
161,"4 days 01:14:00","NO ACTION"
498,"9 days 04:02:00","REMINDER EMAIL TO CUSTOMER"
190,"8 days 20:48:00","REMINDER EMAIL TO CUSTOMER"
334,"8 days 18:58:00","REMINDER EMAIL TO CUSTOMER"
46,"1 day 23:40:00","NO ACTION"
574,"3 days 03:15:00","NO ACTION"
246,"8 days 05:32:00","REMINDER EMAIL TO CUSTOMER"
3,"5 days 18:03:00","NO ACTION"
267,"3 days 04:05:00","NO ACTION"
525,"8 days 20:35:00","REMINDER EMAIL TO CUSTOMER"
249,"9 days 04:31:00","REMINDER EMAIL TO CUSTOMER"
319,"6 days 05:07:00","NO ACTION"
314,"1 day 22:15:00","NO ACTION"
54,"3 days 04:34:00","NO ACTION"
403,"2 days 18:18:00","NO ACTION"
547,"8 days 00:23:00","REMINDER EMAIL TO CUSTOMER"
239,"4 days 21:17:00","NO ACTION"
293,"3 days 03:53:00","NO ACTION"
401,"6 days 21:54:00","NO ACTION"
133,"8 days 23:41:00","REMINDER EMAIL TO CUSTOMER"
247,"7 days 01:25:00","NO ACTION"
172,"7 days 05:55:00","NO ACTION"
247,"9 days 04:34:00","REMINDER EMAIL TO CUSTOMER"
87,"1 day 05:40:00","NO ACTION"
127,"3 days 01:23:00","NO ACTION"
529,"2 days 03:35:00","NO ACTION"
575,"2 days 20:15:00","NO ACTION"
343,"8 days 03:57:00","REMINDER EMAIL TO CUSTOMER"
92,"6 days 02:24:00","NO ACTION"
300,"5 days 21:25:00","NO ACTION"
565,"9 days 04:53:00","REMINDER EMAIL TO CUSTOMER"
468,"2 days 02:47:00","NO ACTION"
240,"20:12:00","NO ACTION"
447,"4 days 18:24:00","NO ACTION"
364,"7 days 01:02:00","NO ACTION"
21,"8 days 01:07:00","REMINDER EMAIL TO CUSTOMER"
193,"2 days 04:07:00","NO ACTION"
261,"5 days 05:59:00","NO ACTION"
442,"1 day 18:55:00","NO ACTION"
557,"4 days 18:58:00","NO ACTION"
101,"7 days 18:13:00","NO ACTION"
154,"9 days 00:37:00","REMINDER EMAIL TO CUSTOMER"
504,"7 days 20:30:00","NO ACTION"
209,"3 days 03:07:00","NO ACTION"
528,"1 day 23:31:00","NO ACTION"
105,"8 days 19:26:00","REMINDER EMAIL TO CUSTOMER"
274,"3 days 20:56:00","NO ACTION"
159,"21:42:00","NO ACTION"
543,"6 days 20:41:00","NO ACTION"
161,"5 days 20:02:00","NO ACTION"
557,"3 days 20:01:00","NO ACTION"
231,"9 days 00:07:00","REMINDER EMAIL TO CUSTOMER"
220,"7 days 22:30:00","NO ACTION"
445,"2 days 18:57:00","NO ACTION"
546,"5 days","NO ACTION"
32,"22:30:00","NO ACTION"
491,"1 day 21:50:00","NO ACTION"
105,"23:00:00","NO ACTION"
398,"20:35:00","NO ACTION"
569,"19:18:00","NO ACTION"
168,"6 days 22:23:00","NO ACTION"
476,"3 days 04:35:00","NO ACTION"
95,"2 days 22:23:00","NO ACTION"
196,"23:58:00","NO ACTION"
228,"22:10:00","NO ACTION"
501,"2 days 18:06:00","NO ACTION"
64,"5 days 18:56:00","NO ACTION"
526,"1 day 05:27:00","NO ACTION"
56,"7 days 03:13:00","NO ACTION"
20,"6 days 19:53:00","NO ACTION"
287,"2 days 20:19:00","NO ACTION"
199,"8 days 18:49:00","REMINDER EMAIL TO CUSTOMER"
145,"3 days 18:59:00","NO ACTION"
162,"2 days 05:05:00","NO ACTION"
179,"2 days 23:28:00","NO ACTION"
288,"20:37:00","NO ACTION"
170,"2 days 20:58:00","NO ACTION"
111,"1 day 04:51:00","NO ACTION"
469,"8 days 18:25:00","REMINDER EMAIL TO CUSTOMER"
421,"5 days 02:36:00","NO ACTION"
434,"8 days 00:25:00","REMINDER EMAIL TO CUSTOMER"
147,"3 days 03:36:00","NO ACTION"
113,"2 days 18:28:00","NO ACTION"
296,"6 days 01:54:00","NO ACTION"
231,"7 days 23:05:00","NO ACTION"
489,"1 day 04:14:00","NO ACTION"
597,"7 days 21:40:00","NO ACTION"
110,"6 days 23:08:00","NO ACTION"
400,"6 days 23:08:00","NO ACTION"
403,"1 day 03:16:00","NO ACTION"
480,"2 days 02:14:00","NO ACTION"
245,"6 days 01:44:00","NO ACTION"
161,"7 days 02:20:00","NO ACTION"
374,"19:05:00","NO ACTION"
382,"3 days 00:50:00","NO ACTION"
138,"3 days 02:05:00","NO ACTION"
223,"3 days 01:23:00","NO ACTION"
14,"8 days 23:53:00","REMINDER EMAIL TO CUSTOMER"
408,"2 days 03:25:00","NO ACTION"
169,"5 days 03:51:00","NO ACTION"
359,"6 days 05:31:00","NO ACTION"
469,"1 day 20:01:00","NO ACTION"
312,"4 days 05:08:00","NO ACTION"
589,"1 day 02:37:00","NO ACTION"
120,"4 days 20:14:00","NO ACTION"
528,"4 days 00:12:00","NO ACTION"
184,"9 days 01:36:00","REMINDER EMAIL TO CUSTOMER"
307,"2 days 20:32:00","NO ACTION"
514,"6 days 03:45:00","NO ACTION"
315,"8 days 05:28:00","REMINDER EMAIL TO CUSTOMER"
110,"4 days 19:01:00","NO ACTION"
161,"1 day 19:36:00","NO ACTION"
119,"8 days 18:07:00","REMINDER EMAIL TO CUSTOMER"
535,"5 days 02:31:00","NO ACTION"
261,"6 days 02:23:00","NO ACTION"
493,"9 days 00:33:00","REMINDER EMAIL TO CUSTOMER"
311,"8 days 23:20:00","REMINDER EMAIL TO CUSTOMER"
54,"6 days 18:37:00","NO ACTION"
20,"4 days 01:20:00","NO ACTION"
506,"8 days 18:07:00","REMINDER EMAIL TO CUSTOMER"
450,"7 days 19:40:00","NO ACTION"
159,"5 days 01:33:00","NO ACTION"
432,"9 days 04:41:00","REMINDER EMAIL TO CUSTOMER"
315,"5 days 05:11:00","NO ACTION"
106,"7 days 04:52:00","NO ACTION"
176,"4 days 18:47:00","NO ACTION"
376,"2 days 19:06:00","NO ACTION"
55,"1 day 23:03:00","NO ACTION"
22,"8 days 22:58:00","REMINDER EMAIL TO CUSTOMER"
444,"6 days 02:06:00","NO ACTION"
442,"9 days 05:14:00","REMINDER EMAIL TO CUSTOMER"
572,"7 days 23:59:00","NO ACTION"
463,"7 days 03:34:00","NO ACTION"
77,"7 days 21:00:00","NO ACTION"
102,"4 days 20:25:00","NO ACTION"
324,"9 days 02:22:00","REMINDER EMAIL TO CUSTOMER"
282,"19:55:00","NO ACTION"
288,"3 days 22:02:00","NO ACTION"
253,"7 days 23:44:00","NO ACTION"
184,"3 days 20:45:00","NO ACTION"
155,"3 days 05:47:00","NO ACTION"
56,"5 days 23:56:00","NO ACTION"
21,"1 day 22:17:00","NO ACTION"
516,"7 days 21:39:00","NO ACTION"
337,"4 days 18:34:00","NO ACTION"
1,"5 days 19:57:00","NO ACTION"
76,"7 days 00:58:00","NO ACTION"
142,"8 days 04:43:00","REMINDER EMAIL TO CUSTOMER"
588,"7 days 02:19:00","NO ACTION"
6,"4 days 02:18:00","NO ACTION"
173,"4 days 22:44:00","NO ACTION"
181,"5 days 02:32:00","NO ACTION"
17,"3 days 23:25:00","NO ACTION"
186,"7 days 01:17:00","NO ACTION"
198,"21:00:00","NO ACTION"
386,"6 days 19:21:00","NO ACTION"
69,"4 days 00:05:00","NO ACTION"
490,"6 days 03:45:00","NO ACTION"
77,"1 day 01:13:00","NO ACTION"
64,"2 days 01:40:00","NO ACTION"
89,"1 day 04:17:00","NO ACTION"
308,"5 days 18:48:00","NO ACTION"
462,"4 days 20:12:00","NO ACTION"
19,"1 day 04:09:00","NO ACTION"
244,"1 day 03:34:00","NO ACTION"
16,"2 days 03:37:00","NO ACTION"
538,"1 day 22:19:00","NO ACTION"
294,"8 days 01:17:00","REMINDER EMAIL TO CUSTOMER"
589,"1 day 03:10:00","NO ACTION"
249,"9 days 05:05:00","REMINDER EMAIL TO CUSTOMER"
159,"6 days 03:56:00","NO ACTION"
393,"4 days 02:36:00","NO ACTION"
332,"5 days 21:49:00","NO ACTION"
429,"6 days 20:42:00","NO ACTION"
590,"8 days 01:01:00","REMINDER EMAIL TO CUSTOMER"
537,"22:46:00","NO ACTION"
426,"5 days 20:26:00","NO ACTION"
501,"3 days 18:49:00","NO ACTION"
299,"6 days 18:56:00","NO ACTION"
554,"1 day 21:52:00","NO ACTION"
494,"7 days 02:11:00","NO ACTION"
